u_id,home,name
60735466,1238,FREQ
50694948,594,FREQ
98019016,1424,FREQ
7252005,1073,FREQ
81197206,663,FREQ
80951847,1530,FREQ
32882974,1628,FREQ
62309407,500,FREQ
55768564,1194,FREQ
34112831,1374,FREQ
55670413,1221,FREQ
24933291,917,FREQ
2321366,1187,FREQ
80725861,339,FREQ
36064218,1478,FREQ
93215317,614,FREQ
99994,888,FREQ
19035327,1425,FREQ
27129641,339,FREQ
39841415,1483,FREQ
15795882,1374,FREQ
79591157,842,FREQ
18029328,1236,FREQ
62299859,630,FREQ
17204829,387,FREQ
82389733,1213,FREQ
42909993,1326,FREQ
49133203,1136,FREQ
35157384,1426,FREQ
87694537,1520,FREQ
12205212,963,FREQ
20776808,1277,FREQ
48436178,1604,FREQ
62162339,1187,FREQ
36234485,644,FREQ
5435790,1564,FREQ
44716330,1153,FREQ
66427244,1398,FREQ
53715749,701,FREQ
33673232,1483,FREQ
58312700,767,FREQ
9427070,905,FREQ
97671596,1192,FREQ
28827993,1425,FREQ
33670860,1000,FREQ
79456542,463,FREQ
80827265,1483,FREQ
44798148,1614,FREQ
89121869,1454,FREQ
47631419,663,FREQ
23509826,1192,FREQ
73015266,1383,FREQ
33084922,1277,FREQ
6290144,579,FREQ
18230925,715,FREQ
13637058,1572,FREQ
10124188,1630,FREQ
43830696,663,FREQ
81018554,1609,FREQ
73882049,407,FREQ
27704051,371,FREQ
88225421,407,FREQ
71563722,663,FREQ
64742128,614,FREQ
77132737,643,FREQ
36250736,1466,FREQ
98851657,944,FREQ
71364969,812,FREQ
51262522,1449,FREQ
16663487,1254,FREQ
96543946,1344,FREQ
46698997,1647,FREQ
47295396,626,FREQ
39467733,851,FREQ
40184654,371,FREQ
87141662,1620,FREQ
98905885,1554,FREQ
98810740,1412,FREQ
40318821,1478,FREQ
44937145,1216,FREQ
19762216,1556,FREQ
18301160,918,FREQ
16493259,1542,FREQ
26438474,629,FREQ
3091719,757,FREQ
8887480,762,FREQ
10519598,1290,FREQ
50396917,1199,FREQ
