grid_id,local,visitor,total_local,total_visitor,OR
927,43,574,115506,3314402,2.149597761366425
928,24,320,115506,3314402,2.1520972936470835
936,14,743,115506,3314402,0.5406794456897114
937,521,9376,115506,3314402,1.5944861916810729
942,14,1178,115506,3314402,0.3410227743187229
943,54,2426,115506,3314402,0.6387098315852844
944,185,5567,115506,3314402,0.953566850666931
945,23,1012,115506,3314402,0.6521506950445707
946,56,1845,115506,3314402,0.8709481369050527
947,66,2083,115506,3314402,0.9091913674553208
956,87,2278,115506,3314402,1.0958879985209027
957,198,3608,115506,3314402,1.5747053368149388
961,17,1173,115506,3314402,0.4158642113327697
962,107,2071,115506,3314402,1.4825328209897823
963,222,9240,115506,3314402,0.6894164490471175
965,34,852,115506,3314402,1.145090891768401
966,64,2737,115506,3314402,0.6709741897133763
967,25,1394,115506,3314402,0.5146095871944245
976,113,3075,115506,3314402,1.0544693514671888
979,113,4066,115506,3314402,0.797465139144517
980,101,2534,115506,3314402,1.143708638033967
981,57,2641,115506,3314402,0.6193085737113908
982,107,4497,115506,3314402,0.6827497158705446
983,155,5957,115506,3314402,0.7466287964082545
984,34,1324,115506,3314402,0.7368711780866146
985,40,987,115506,3314402,1.1629029617816051
992,5,791,115506,3314402,0.18138198850797163
995,61,3107,115506,3314402,0.5633641665592622
998,491,13265,115506,3314402,1.062123152336442
999,71,3207,115506,3314402,0.6352724575364013
1000,120,4475,115506,3314402,0.7694649541531471
1001,245,6534,115506,3314402,1.0759388571442412
1002,16,1308,115506,3314402,0.3510046554368332
1003,38,2600,115506,3314402,0.41938306235173933
1004,67,5161,115506,3314402,0.3725131271054824
1011,23,721,115506,3314402,0.9153626954023655
1015,132,1654,115506,3314402,2.2900188856220476
1017,6,873,115506,3314402,0.19721395588976706
1018,885,22886,115506,3314402,1.1096193334368427
1019,60,4716,115506,3314402,0.3650716359028131
1020,106,5261,115506,3314402,0.5781469001497582
1021,54,2845,115506,3314402,0.5446432518192971
1022,49,3664,115506,3314402,0.3837436950098511
1023,48,3426,115506,3314402,0.4020263479083868
1024,15,1166,115506,3314402,0.36914190285541737
1026,44,916,115506,3314402,1.378344700443547
1030,27,2093,115506,3314402,0.37016484745004774
1034,395,7193,115506,3314402,1.5757512970769691
1037,1607,28179,115506,3314402,1.6364055269956885
1038,1035,32062,115506,3314402,0.9262972569499641
1039,181,3373,115506,3314402,1.5397948815105131
1040,187,5951,115506,3314402,0.9016797040542308
1041,27,1009,115506,3314402,0.7678444258800298
1042,27,1164,115506,3314402,0.6655971011279639
1043,23,1448,115506,3314402,0.4557848780283878
1046,7,541,115506,3314402,0.37127987813997737
1050,18,789,115506,3314402,0.6546303554820025
1051,5,318,115506,3314402,0.4511734368232879
1052,5,225,115506,3314402,0.6376584573769136
1053,48,3489,115506,3314402,0.3947670587372122
1054,123,3108,115506,3314402,1.135598314537071
