u_id,home,name
60735466,1238,OSNA
50694948,610,OSNA
98019016,1424,OSNA
7252005,1073,OSNA
81197206,663,OSNA
80951847,1530,OSNA
32882974,1628,OSNA
62309407,500,OSNA
55768564,1194,OSNA
34112831,1374,OSNA
55670413,1221,OSNA
24933291,917,OSNA
2321366,1061,OSNA
80725861,339,OSNA
36064218,1478,OSNA
93215317,1169,OSNA
99994,888,OSNA
19035327,1425,OSNA
27129641,339,OSNA
39841415,1483,OSNA
15795882,1374,OSNA
79591157,842,OSNA
18029328,1236,OSNA
62299859,630,OSNA
17204829,387,OSNA
82389733,1213,OSNA
42909993,1326,OSNA
49133203,1136,OSNA
35157384,1426,OSNA
87694537,1520,OSNA
12205212,963,OSNA
20776808,1277,OSNA
48436178,1604,OSNA
62162339,1187,OSNA
36234485,644,OSNA
5435790,1564,OSNA
44716330,1153,OSNA
66427244,1398,OSNA
53715749,701,OSNA
33673232,1483,OSNA
58312700,767,OSNA
9427070,944,OSNA
97671596,1192,OSNA
28827993,1425,OSNA
33670860,1000,OSNA
79456542,463,OSNA
80827265,1483,OSNA
44798148,1614,OSNA
89121869,1454,OSNA
47631419,663,OSNA
23509826,1192,OSNA
73015266,1383,OSNA
33084922,1277,OSNA
6290144,579,OSNA
18230925,715,OSNA
13637058,1572,OSNA
10124188,1630,OSNA
43830696,663,OSNA
81018554,1609,OSNA
73882049,407,OSNA
27704051,371,OSNA
88225421,407,OSNA
71563722,663,OSNA
64742128,614,OSNA
77132737,643,OSNA
36250736,1466,OSNA
98851657,944,OSNA
71364969,812,OSNA
51262522,1449,OSNA
16663487,1253,OSNA
96543946,1344,OSNA
46698997,1647,OSNA
47295396,626,OSNA
39467733,851,OSNA
40184654,371,OSNA
87141662,1620,OSNA
98905885,1554,OSNA
98810740,1412,OSNA
40318821,1478,OSNA
44937145,1216,OSNA
19762216,1556,OSNA
18301160,918,OSNA
16493259,1542,OSNA
26438474,629,OSNA
3091719,757,OSNA
8887480,762,OSNA
10519598,888,OSNA
50396917,1199,OSNA
4347749,1584,OSNA
47762825,1437,OSNA
65932773,1174,OSNA
32614774,1554,OSNA
53944790,1192,OSNA
69660659,1034,OSNA
2113782,925,OSNA
1680875,1342,OSNA
72848030,1622,OSNA
9604214,1540,OSNA
728203,880,OSNA
22587034,1374,OSNA
30015228,1455,OSNA
26846815,823,OSNA
44432320,562,OSNA
65366158,1158,OSNA
5579311,1213,OSNA
95444774,862,OSNA
923887,899,OSNA
88114890,1072,OSNA
73141263,1059,OSNA
49680974,1221,OSNA
60140397,963,OSNA
79867049,1425,OSNA
29947968,1426,OSNA
45409553,1543,OSNA
66639666,339,OSNA
15384315,1425,OSNA
83974112,1582,OSNA
37316363,480,OSNA
18498843,463,OSNA
78397575,1312,OSNA
37632554,718,OSNA
55464003,774,OSNA
62154330,1216,OSNA
25536723,645,OSNA
12007648,1272,OSNA
14289706,643,OSNA
98126997,1520,OSNA
54285917,722,OSNA
77290632,1554,OSNA
17592454,800,OSNA
57636990,627,OSNA
65274021,1340,OSNA
55323103,624,OSNA
74243912,976,OSNA
34542425,1572,OSNA
86220162,917,OSNA
63306089,1103,OSNA
22369507,1214,OSNA
58176738,1594,OSNA
28367248,1461,OSNA
83830811,918,OSNA
48255314,1520,OSNA
38272512,354,OSNA
78854633,795,OSNA
7277642,370,OSNA
85006028,630,OSNA
66132985,1436,OSNA
47156687,1426,OSNA
61504477,716,OSNA
89732998,805,OSNA
2687074,842,OSNA
45023649,853,OSNA
24262297,1034,OSNA
57584054,1631,OSNA
58639460,1342,OSNA
47945888,481,OSNA
33005238,695,OSNA
44371820,579,OSNA
58546400,805,OSNA
98308819,1442,OSNA
91598898,627,OSNA
12072151,681,OSNA
20031071,823,OSNA
55147202,1343,OSNA
35306633,501,OSNA
83935862,626,OSNA
41864046,1174,OSNA
33571297,715,OSNA
64397394,502,OSNA
81220344,678,OSNA
44596382,722,OSNA
37365373,762,OSNA
55173252,937,OSNA
93695408,1449,OSNA
59702716,1554,OSNA
66053971,1108,OSNA
38354198,663,OSNA
58403740,1449,OSNA
19300564,339,OSNA
6162889,1476,OSNA
25742270,611,OSNA
35011789,615,OSNA
31074855,1194,OSNA
8547797,1188,OSNA
53073082,1357,OSNA
14753391,1556,OSNA
16090309,1411,OSNA
66384236,1566,OSNA
61448337,1216,OSNA
40608368,1554,OSNA
59662458,1357,OSNA
52002802,1425,OSNA
2650259,564,OSNA
5664820,1395,OSNA
46469593,1613,OSNA
32430776,1574,OSNA
26514574,1584,OSNA
28934587,1466,OSNA
71317028,1199,OSNA
85704074,1080,OSNA
24369004,598,OSNA
93467120,597,OSNA
12120025,1437,OSNA
99140050,1584,OSNA
42701688,1398,OSNA
676942,1483,OSNA
70920294,387,OSNA
2603619,1257,OSNA
87362887,1054,OSNA
51222304,1494,OSNA
26748049,937,OSNA
90226750,880,OSNA
77937134,842,OSNA
83571785,462,OSNA
31254896,888,OSNA
71851976,1060,OSNA
57896450,944,OSNA
67051607,1192,OSNA
83070929,1562,OSNA
85256033,1472,OSNA
68130628,1114,OSNA
54016170,1483,OSNA
27903802,1384,OSNA
43423296,1471,OSNA
20545846,757,OSNA
16121074,1385,OSNA
88130067,1192,OSNA
86494422,1059,OSNA
45260751,763,OSNA
64947264,881,OSNA
22803294,785,OSNA
54838637,678,OSNA
29026850,1386,OSNA
42947235,1113,OSNA
25290145,1483,OSNA
56368925,736,OSNA
5460462,1541,OSNA
92630912,1059,OSNA
48660040,1455,OSNA
32548347,1471,OSNA
39600663,387,OSNA
94535789,962,OSNA
87487478,957,OSNA
99748316,1494,OSNA
29133323,1488,OSNA
39272959,610,OSNA
65379399,1448,OSNA
29980414,1342,OSNA
10131907,962,OSNA
63320357,1169,OSNA
32995643,1564,OSNA
20628422,1628,OSNA
41366887,1191,OSNA
53819428,1438,OSNA
45759430,1631,OSNA
20836916,1426,OSNA
52331940,1040,OSNA
71362922,962,OSNA
89917576,321,OSNA
30108940,1612,OSNA
78861921,1216,OSNA
76711791,1136,OSNA
54076544,502,OSNA
42730597,678,OSNA
5534630,698,OSNA
44105100,1530,OSNA
10125795,1612,OSNA
7681634,1079,OSNA
74156381,1471,OSNA
84519362,1131,OSNA
25346847,1483,OSNA
71914720,1137,OSNA
8258027,1060,OSNA
99515914,1450,OSNA
73810981,1151,OSNA
50281706,1092,OSNA
44850015,1172,OSNA
28839867,917,OSNA
28004251,805,OSNA
15503619,937,OSNA
91390055,937,OSNA
43283255,1398,OSNA
84826443,995,OSNA
99847828,1135,OSNA
18725884,1079,OSNA
7347685,823,OSNA
1966862,1292,OSNA
36913099,805,OSNA
94433456,1073,OSNA
90806727,1131,OSNA
45256098,1425,OSNA
88846967,630,OSNA
40153763,759,OSNA
74995616,1388,OSNA
31130476,1461,OSNA
32356564,1605,OSNA
33671345,597,OSNA
91042148,1450,OSNA
60602251,1596,OSNA
91256063,1088,OSNA
37464757,559,OSNA
15332482,1374,OSNA
28945080,1168,OSNA
63831330,1471,OSNA
32370300,1587,OSNA
53850358,781,OSNA
71966445,1359,OSNA
17022563,542,OSNA
68206777,387,OSNA
47466559,823,OSNA
65347495,1596,OSNA
86311701,1309,OSNA
22698801,1603,OSNA
26337567,1257,OSNA
64565381,1135,OSNA
16442193,1483,OSNA
511278,1484,OSNA
21980397,1239,OSNA
64544231,1612,OSNA
4156286,862,OSNA
68556935,1272,OSNA
91614153,442,OSNA
44097248,579,OSNA
6275380,1629,OSNA
4420641,1411,OSNA
82676100,1420,OSNA
38452032,924,OSNA
78200171,1312,OSNA
52799091,1556,OSNA
31437552,1431,OSNA
18193297,842,OSNA
15235298,1408,OSNA
64268356,800,OSNA
5059062,701,OSNA
34907644,1487,OSNA
33956965,1449,OSNA
88327856,1478,OSNA
12138837,781,OSNA
63307438,647,OSNA
17805569,1274,OSNA
31565701,741,OSNA
6329917,1500,OSNA
