grid_id,local,visitor,total_local,total_visitor,OR
234,18,1565,33217,3019348,1.0454684420512574
270,11,2259,33217,3019348,0.44261815035936247
285,5,1071,33217,3019348,0.42435888365240626
286,34,2455,33217,3019348,1.2588679746899163
287,42,995,33217,3019348,3.83688669436232
304,22,1952,33217,3019348,1.0244614771124998
321,154,5215,33217,3019348,2.6842265816424153
323,15,1290,33217,3019348,1.0569496846319235
338,47,2559,33217,3019348,1.6694766022986458
339,183,5576,33217,3019348,2.9831912009930437
354,223,7687,33217,3019348,2.636943027432162
355,70,3423,33217,3019348,1.858848116121583
370,57,3375,33217,3019348,1.535160697500945
371,233,6919,33217,3019348,3.0610142767241633
387,284,14813,33217,3019348,1.7427218725072642
388,60,2979,33217,3019348,1.8307688394430095
406,19,4426,33217,3019348,0.3902069102323911
407,147,5727,33217,3019348,2.333151372990532
424,59,8660,33217,3019348,0.6192797574852633
425,5,1291,33217,3019348,0.35204365948236027
442,138,6487,33217,3019348,1.9336949063067161
462,59,3869,33217,3019348,1.386136650251326
463,120,4599,33217,3019348,2.3717592401394763
480,124,4579,33217,3019348,2.4615224802172597
481,98,6051,33217,3019348,1.472148726173831
500,60,2997,33217,3019348,1.8197732307977064
501,48,2905,33217,3019348,1.5019236826714564
502,146,5627,33217,3019348,2.3584610343412886
521,27,1249,33217,3019348,1.9649617035350893
522,57,5184,33217,3019348,0.9994535791021777
542,41,3041,33217,3019348,1.2255194304545092
559,97,4288,33217,3019348,2.0562206784513775
562,36,1923,33217,3019348,1.7016725031827535
576,93,5906,33217,3019348,1.4313382285279588
579,123,4058,33217,3019348,2.7551537121824756
592,99,2535,33217,3019348,3.5498499467282825
593,151,23076,33217,3019348,0.5947975647698978
594,87,3885,33217,3019348,2.035546342449434
597,222,6394,33217,3019348,3.155971751484624
598,63,2371,33217,3019348,2.415248161676829
608,5,1051,33217,3019348,0.43243421921191927
610,112,5957,33217,3019348,1.7090044254448025
611,40,2448,33217,3019348,1.485256092783422
612,76,3099,33217,3019348,2.22917816674871
613,70,3893,33217,3019348,1.6344302855083943
614,151,11604,33217,3019348,1.1828290765796414
615,143,6177,33217,3019348,2.1043171801203493
624,32,2433,33217,3019348,1.195530428321847
625,6,8780,33217,3019348,0.06211686073691032
626,106,7419,33217,3019348,1.29871321271123
627,108,4121,33217,3019348,2.382176333623224
629,180,9070,33217,3019348,1.8039229457665025
630,212,8590,33217,3019348,2.2433418684760458
631,78,3192,33217,3019348,2.2211837357490425
640,27,1299,33217,3019348,1.889328073683854
642,9,1732,33217,3019348,0.47233201842096356
643,81,9311,33217,3019348,0.7907541083821266
644,113,7288,33217,3019348,1.409362930193885
645,102,8949,33217,3019348,1.0360445450431595
646,8,1575,33217,3019348,0.46170246541381804
647,160,6807,33217,3019348,2.136569363968748
660,75,3978,33217,3019348,1.7137570301347178
661,34,5015,33217,3019348,0.6162554093447148
662,11,1355,33217,3019348,0.7379146875732839
663,147,5982,33217,3019348,2.233694067722631
664,19,2101,33217,3019348,0.822016080289654
665,8,988,33217,3019348,0.7360135455736472
674,18,809,33217,3019348,2.022445132027463
675,24,1826,33217,3019348,1.1947120203068402
677,35,2121,33217,3019348,1.4999615986525645
678,102,3813,33217,3019348,2.4315663869895707
680,61,4239,33217,3019348,1.3080344528377144
681,42,2474,33217,3019348,1.5431294506428894
695,67,4703,33217,3019348,1.2949487737293524
696,8,2334,33217,3019348,0.31156014696947876
698,72,3916,33217,3019348,1.671254455373052
699,39,1440,33217,3019348,2.461811973788522
701,127,7536,33217,3019348,1.5318477249933478
715,81,5470,33217,3019348,1.3460167281802522
716,82,10997,33217,3019348,0.6777856848253455
718,12,618,33217,3019348,1.7650033568610763
720,18,1728,33217,3019348,0.9468507591494315
721,122,6345,33217,3019348,1.7477566731533716
722,79,3543,33217,3019348,2.026789770643322
734,20,1917,33217,3019348,0.9483325287255653
735,88,8255,33217,3019348,0.9689879119678253
736,33,2453,33217,3019348,1.2228386485876064
737,8,1312,33217,3019348,0.5542541029167404
738,11,1096,33217,3019348,0.9122941621001822
739,47,3076,33217,3019348,1.388878616801767
740,24,1980,33217,3019348,1.1017899742829749
741,189,7132,33217,3019348,2.408813821369501
755,23,2810,33217,3019348,0.7440023046982011
756,53,3862,33217,3019348,1.2474305185272676
757,54,3425,33217,3019348,1.4331311928264678
758,15,1440,33217,3019348,0.9468507591494315
759,39,3570,33217,3019348,0.9929997877466307
760,8,1190,33217,3019348,0.611076792459465
762,215,7046,33217,3019348,2.773630381612868
763,161,4489,33217,3019348,3.2600858394773033
767,31,3760,33217,3019348,0.7494223029863586
773,11,691,33217,3019348,1.4469962397421123
774,24,3443,33217,3019348,0.6336172376068226
775,38,6744,33217,3019348,0.5121754996110804
776,15,1537,33217,3019348,0.8870950508621871
777,86,7334,33217,3019348,1.0658849014913698
778,26,2809,33217,3019348,0.8413454947799861
780,19,1308,33217,3019348,1.320379040281776
781,53,3499,33217,3019348,1.3768438589746521
785,150,7262,33217,3019348,1.8775338655675866
786,110,4827,33217,3019348,2.071419933005593
795,25,1430,33217,3019348,1.589120155215829
796,24,6152,33217,3019348,0.35460730641747246
797,22,7750,33217,3019348,0.258032103654658
800,46,2441,33217,3019348,1.712942626957759
805,145,6656,33217,3019348,1.9801926934134746
